A,Y,W,Z,X_race,X_sex,X_faminc_2000
18.0,10.4341158035983,10.621327345686446,16.0,3,1,72800.0
16.0,10.257659366256743,10.308952660644293,14.0,3,2,82100.0
17.0,10.341742483467284,8.699514748210191,15.0,3,2,77000.0
17.0,10.043249494911286,10.596634733096073,16.0,3,2,14000.0
16.0,10.714417768752456,10.714417768752456,16.0,3,2,85900.0
12.0,9.210340371976184,9.305650551780507,7.0,3,2,
14.0,9.721005982940808,10.995494742152102,13.0,3,2,77800.0
18.0,10.373491181781864,10.373491181781864,16.0,3,2,85150.0
16.0,11.211820372186306,10.275051108968611,14.0,3,1,105000.0
16.0,10.341742483467284,10.085809109330082,16.0,3,1,65000.0
12.0,9.392661928770137,10.46310334047155,10.0,3,2,21764.0
11.0,9.798127036878302,10.4341158035983,14.0,2,2,14000.0
12.0,10.645424897265505,10.126631103850338,2.0,3,1,60000.0
12.0,9.472704636443673,10.819778284410283,8.0,3,2,69997.0
12.0,10.51867319162636,10.373491181781864,14.0,3,1,79040.0
12.0,9.210340371976184,9.472704636443673,12.0,2,2,20800.0
12.0,7.090076835776092,11.184421397998193,12.0,2,2,70000.0
16.0,11.184421397998193,10.4341158035983,14.0,3,2,87100.0
18.0,10.586584397242571,10.203592144986466,0.0,3,2,80696.0
18.0,6.551080335043404,11.472103470449973,20.0,3,2,86700.0
16.0,10.596634733096073,10.714417768752456,16.0,3,2,
12.0,10.203592144986466,9.210340371976184,12.0,3,1,
19.0,10.184900011974314,11.097410021008562,7.0,1,2,106000.0
16.0,10.46310334047155,10.308952660644293,16.0,3,2,160000.0
15.0,10.4341158035983,10.239959789157341,17.0,3,2,73000.0
12.0,10.596634733096073,10.126631103850338,12.0,3,1,77000.0
15.0,10.596634733096073,8.517193191416238,12.0,1,2,100400.0
13.0,10.668955394675699,9.95227771670556,12.0,1,1,91600.0
12.0,8.536995818712418,11.429543856031177,16.0,1,2,130150.0
12.0,10.680516217076775,10.203592144986466,12.0,1,2,32000.0
12.0,9.998797732340453,10.714417768752456,12.0,1,2,78050.0
11.0,10.373491181781864,9.210340371976184,12.0,3,1,55000.0
19.0,11.082142548877775,11.127262984158243,17.0,1,2,175000.0
16.0,10.491274217438248,9.392661928770137,17.0,3,2,88400.0
16.0,12.002474335450016,12.195608082482291,16.0,3,1,332808.0
12.0,9.852194258148577,10.46310334047155,11.0,3,2,37500.0
11.0,9.546812608597396,9.581903928408666,12.0,2,1,85000.0
11.0,9.769956159911606,10.48290596776773,16.0,2,1,
14.0,10.571316925111784,10.275051108968611,10.0,2,2,74000.0
13.0,10.668955394675699,10.275051108968611,14.0,2,2,71000.0
14.0,10.308952660644293,9.615805480084347,6.0,2,2,47400.0
14.0,9.798127036878302,10.46310334047155,16.0,2,2,77000.0
14.0,9.210340371976184,10.819778284410283,14.0,3,2,17400.0
13.0,9.472704636443673,10.043249494911286,12.0,2,2,85000.0
16.0,12.002474335450016,10.51867319162636,16.0,3,1,332808.0
16.0,10.341742483467284,10.19988156558993,16.0,3,1,68000.0
16.0,9.680344001221918,10.51867319162636,16.0,3,2,65625.0
12.0,10.126631103850338,10.308952660644293,6.0,3,2,69000.0
13.0,11.002099841204238,11.002099841204238,13.0,3,2,170000.0
16.0,11.002099841204238,10.596634733096073,16.0,3,2,113000.0
16.0,11.002099841204238,10.915088464214607,17.0,3,1,152000.0
18.0,8.699514748210191,10.341742483467284,16.0,3,2,58000.0
15.0,10.404262840448617,10.126631103850338,16.0,3,1,65000.0
14.0,10.239959789157341,10.736396675471232,12.0,2,2,85200.0
12.0,10.165851817003619,9.903487552536127,12.0,2,1,49000.0
12.0,9.615805480084347,10.126631103850338,8.0,2,2,34400.0
12.0,10.203592144986466,9.472704636443673,12.0,2,1,38000.0
12.0,9.472704636443673,10.126631103850338,9.0,3,2,
12.0,10.345284589891683,9.740968623038354,12.0,3,1,52000.0
12.0,9.615805480084347,10.373491181781864,12.0,3,2,34200.0
19.0,10.4341158035983,10.621327345686446,16.0,3,2,105000.0
12.0,9.998797732340453,10.645424897265505,14.0,3,1,109000.0
14.0,10.257659366256743,10.165851817003619,16.0,3,2,47900.0
16.0,10.308952660644293,10.51867319162636,16.0,3,2,77225.0
12.0,10.341742483467284,10.341742483467284,12.0,3,2,64000.0
13.0,6.866933284461882,10.043249494911286,12.0,3,2,
18.0,10.323841273138044,10.46310334047155,12.0,3,2,73630.0
12.0,9.903487552536127,9.615805480084347,12.0,3,1,47400.0
